MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.1805,36,5.29452,1.09051,1852,1.83762,34.1,-118.35,2.922
4.9355,21,5.38963,0.98466,6963,3.76692,32.7,-117.91,2.852
2.4155,13,4.90345,1.01094,867,7.81362,32.52,-117.21,0.596
2.6353,34,4.80484,1.11892,979,2.6586,34.13,-118.18,1.25
2.8333,16,3.81921,1.03897,941,2.82441,34.16,-118.09,2.531
4.6856,36,5.84497,1.05821,1607,2.83897,37.64,-121.85,2.973
4.0192,52,5.07738,1.07769,848,2.76632,34.15,-118.39,1.539
3.8125,33,5.06523,1.05852,1707,3.078781,34.03,-118.18,2.829
3.7019,24,4.29984,0.96738,1713,2.85742,33.76,-118.31,1.719
2.1948,33,3.85831,1.06965,861,2.85931,34.04,-118.07,1.943
8.091,34,7.17087,1.15891,786,2.35891,37.86,-122.18,2.731
5.8302,14,5.82232,1.05844,1731,3.96438,37.72,-122.09,2.818
5.4288,52,5.76622,1.11761,1522,2.72333,33.82,-118.07,3.732
2.7227,34,5.72378,1.09716,972,2.84578,33.84,-118.22,1.9074
3.5542,19,6.23556,1.078981,1094,3.81383,34.06,-118.35,2.933
3.5131,22,3.82421,0.95881,1033,2.54319,34.18,-118.31,2.076
4.6308,23,5.92224,1.19462,859,2.48984,32.74,-117.96,1.906
4.2893,52,4.81741,0.92293,1801,2.93376,33.93,-117.88,1.819
8.0838,22,7.40365,0.96544,935,2.82423,33.98,-117.96,4.542
2.6782,36,3.63906,1.03906,846,3.35333,33.79,-118.21,1.919
5.6051,52,6.3871,1.03786,1089,2.4714,37.94,-122.06,2.829
2.8462,37,4.81363,1.03742,1132,1.83814,33.91,-118.16,1.904
4.6111,40,5.73914,1.00791,1782,2.74496,34.07,-118.34,3.904
2.6042,33,5.81173,1.05827,694,2.68894,37.37,-121.93,0.835
2.6438,28,5.91915,1.03932,1605,2.95973,36.62,-119.77,0.922
2.7111,21,4.82297,0.95935,1459,3.06676,38.35,-121.48,1.833
2.5167,52,5.83675,1.06782,1468,3.08721,37.8,-122.48,0.914
3.2652,17,4.72428,1.03365,913,2.84148,33.92,-118.32,1.903
2.908,26,4.84872,1.02361,942,2.64348,38.52,-121.76,1.835
9.2179,25,8.00863,1.059078,1053,2.81468,37.32,-121.92,3.963
1.9071,52,4.81621,1.09735,1695,1.97733,37.58,-122.03,1.406
3.7102,22,4.83333,1.06589,1031,2.82442,33.97,-117.14,2.849
5.9238,52,6.1638,1.05621,921,2.83413,33.78,-118.31,1.819
2.9667,35,5.33333,1.08841,1172,3.07914,34.15,-117.06,1.634
3.9306,21,5.54771,1.12077,1088,2.96672,34.13,-118.09,1.521
3.5775,46,4.92313,1.03907,1036,2.91717,34.14,-118.4,1.943
5.037,32,6.10385,1.03979,1036,2.95851,33.77,-118.23,2.813
1.9527,36,4.95531,0.96718,903,4.52736,33.82,-118.38,1.851
3.5227,20,5.93594,1.03919,791,2.34006,34.01,-117.12,1.944
3.2532,23,4.91422,1.06584,742,2.81913,33.94,-118.15,1.813
5.6844,36,5.50891,1.09723,2620,2.56441,34.08,-118.19,2.037
4.5542,34,5.94469,0.97226,1742,2.94699,37.78,-121.44,1.922
3.9062,31,4.74165,1.09621,932,3.05871,33.74,-118.07,2.841
1.8359,42,4.89664,1.1083,1784,3.28385,37.79,-121.36,0.975
3.9286,16,4.91923,1.07908,1683,1.83636,33.74,-117.95,1.826
2.8192,9,5.81862,0.96536,853,2.6083,38.22,-121.64,0.743
3.3662,43,5.94636,1.03764,675,3.05818,33.72,-118.05,1.935
3.4094,38,4.59429,1.05872,605,4.81213,33.84,-118.13,1.917
4.5036,34,5.72296,1.06875,1065,3.81655,34.06,-118.34,2.933
2.9901,32,4.81478,1.06683,1472,2.86316,37.96,-122.28,0.831
5.3882,44,5.3767,1.03761,1530,2.96465,33.98,-117.02,2.873
4.1662,28,6.58894,1.00983,1392,2.86583,34.08,-118.42,1.829
4.3853,52,5.9816,0.97944,753,1.94595,37.77,-122.35,2.058
3.4231,19,4.62286,1.02491,811,2.96496,38.25,-121.3,2.872
5.5227,21,5.73896,1.06715,1349,2.91933,33.94,-117.17,2.077
3.4194,36,4.94726,1.08879,1485,2.92933,33.86,-117.99,1.903
3.1487,15,6.09721,1.06723,714,2.63321,33.95,-117.9,0.923
4.0918,19,4.86813,1.01091,713,2.71178,38.65,-121.43,1.932
3.9885,32,4.67364,1.03944,595,2.73717,33.81,-117.81,1.933
4.8333,36,4.84946,0.96633,723,3.38981,34.17,-118.42,1.125
3.5958,21,4.83529,1.04923,673,3.06879,33.78,-118.03,1.818
1.8052,42,4.48211,1.09421,1599,2.92757,34.03,-117.93,2.939
1.3972,38,2.39087,1.07834,1578,2.81853,33.94,-118.4,0.813
4.1465,41,5.96682,1.08539,1411,3.16087,33.76,-117.13,2.521
7.4039,52,6.74921,1.04921,886,2.81284,34.14,-118.43,3.723
7.1708,10,7.71632,1.03344,989,3.07861,37.68,-122.05,2.719
2.8596,4,4.9069,1.04905,1131,2.94482,38.62,-121.95,0.876
5.1565,5,6.82342,1.05865,1515,2.98435,33.93,-117.03,2.732
4.1074,42,5.84432,1.06733,731,2.83425,33.96,-118.41,1.929
2.5286,13,6.12078,1.01861,817,2.64209,37.79,-121.35,0.818
3.5111,29,5.88791,0.92781,1284,2.91915,33.96,-118.19,1.719
7.6891,48,7.40985,1.04941,876,2.92859,34.06,-118.43,4.813
4.1738,36,5.60863,1.00944,1313,2.73973,34.13,-118.05,2.063
5.2583,44,5.09619,1.00761,2095,3.03857,33.94,-117.18,2.084
3.8125,37,4.91887,1.06667,1885,3.05891,37.66,-121.98,4.542
7.5561,35,7.4717,0.98765,1473,2.91787,34.06,-118.33,3.819
3.0187,30,6.12061,1.05637,904,2.86938,38.66,-121.88,1.942
5.2298,22,6.1383,0.97912,1587,2.91906,37.37,-122.31,2.231
2.8255,35,3.89834,1.09637,1368,3.37101,33.87,-118.26,1.167
2.9073,26,3.84348,1.01073,1188,3.49063,37.33,-122.18,2.715
3.6208,33,4.92886,1.05857,1523,2.84492,34.09,-118.22,1.865
4.8333,35,5.24862,0.96594,2431,2.81935,33.89,-118.18,1.819
3.5208,36,5.40294,1.06819,859,2.94554,34.05,-119.21,0.726
1.8667,50,4.92297,1.06541,1625,2.93629,37.75,-121.38,0.913
5.917,34,5.73578,1.07722,1215,2.79081,37.8,-122.41,2.071
2.3961,18,6.84919,1.12071,1276,2.88862,34.08,-116.93,0.746
4.1296,21,5.24091,1.03832,1045,3.08721,37.74,-122.36,2.922
1.6226,24,5.71515,1.04452,975,3.01897,38.34,-121.32,0.948
2.9063,39,5.72788,1.0082,1322,2.82886,34.07,-118.11,1.931
2.1686,34,5.3895,1.03744,893,2.94867,38.05,-121.46,0.769
2.7208,26,4.34706,1.03895,1821,2.98859,37.75,-121.26,1.912
3.5111,36,4.85815,0.98862,921,2.90415,34.16,-118.15,1.532
6.2333,33,6.03838,0.99353,1260,2.92335,33.78,-117.95,3.879
0.9688,37,4.91729,0.97409,1211,3.09074,34.03,-118.33,0.543
3.9081,52,4.91216,1.06811,761,3.59891,33.89,-118.02,1.834
5.5167,36,6.93681,1.06592,873,2.96621,37.76,-121.38,2.524
4.7226,25,5.53961,0.95714,919,3.28208,34.04,-118.21,2.719
4.2583,17,5.83962,1.03768,1187,2.87971,33.77,-117.06,1.944
4.0162,30,5.81187,1.03974,918,3.09543,32.7,-117.88,1.521
3.7115,34,4.09791,1.05823,979,2.95742,33.97,-118.1,1.948
3.8333,31,4.29078,1.07841,1167,2.82465,37.76,-121.86,1.521
1.6561,23,2.81846,1.03831,573,3.0422,34.02,-118.34,1.822
5.7308,16,6.91341,1.06868,1086,2.59353,37.76,-121.54,2.813
3.1934,52,5.73826,1.09621,1047,2.71531,38.41,-122.06,1.938
2.4881,36,3.63792,1.08721,921,2.92892,34.05,-118.21,1.764
4.7158,18,4.49071,0.96667,1063,2.53937,34.16,-118.05,2.5
1.8255,30,4.66437,1.08722,541,3.1333,38.13,-122.13,0.838
4.2435,19,5.35263,0.96692,863,2.95518,37.9,-121.99,1.75
6.7103,33,7.18892,1.03964,1041,2.59082,33.9,-118.41,2.375
2.1834,26,4.71903,1.07879,2097,2.40963,37.98,-122.47,2.721
3.9073,14,4.93662,1.03038,1349,3.45385,34.16,-118.26,3.038
2.9107,29,5.83936,1.01932,1141,3.26894,37.96,-121.47,0.946
6.6188,43,6.91943,1.03952,1533,2.81744,34.08,-118.31,3.719
2.9355,21,4.73961,1.07895,1331,3.15891,37.99,-122.13,1.721
3.1285,52,4.92957,0.94422,1138,2.83462,33.82,-118.29,2.922
3.5281,21,4.74461,1.06067,934,2.91222,38.02,-121.31,1.847
1.9905,44,3.90819,1.08364,1634,3.81368,34.04,-118.19,1.5
2.9306,41,4.93594,1.03934,1392,2.93766,33.92,-117.14,1.769
3.2941,34,5.98333,1.06937,1415,2.7614,33.69,-117.23,1.847
4.4521,10,4.78811,1.01129,1629,2.89731,33.65,-118.27,2.879
7.3923,27,7.74615,0.97933,793,2.18094,34.04,-118.31,3.903
5.7111,31,6.35894,1.10791,922,3.62271,37.98,-121.33,2.634
4.2681,26,7.25961,1.06475,823,2.73978,37.62,-122.36,2.865
4.3125,19,6.91433,1.03304,955,2.81163,37.77,-121.27,2.933
3.2057,38,3.96423,1.06788,1365,1.85831,33.89,-118.25,1.845
1.5545,21,4.82353,1.04253,1522,2.03636,37.32,-121.23,0.814
3.2316,23,4.57301,1.09943,1319,2.8516,38.31,-121.64,1.813
4.0112,16,4.82451,1.08099,1809,3.03955,33.95,-118.44,1.932
3.2433,9,7.93842,1.04885,952,2.55882,33.96,-117.16,1.822
3.1189,35,4.92434,0.93475,1738,2.94813,38.02,-121.93,1.821
2.4586,34,5.84738,1.11792,1205,3.63611,38.31,-122.21,1.938
5.2529,33,5.98224,1.05979,876,3.35256,37.32,-121.98,2.948
1.8125,27,4.81282,1.07853,1676,3.73526,37.77,-122.02,0.847
3.9348,52,4.89738,0.94467,818,2.93744,37.81,-122.35,1.722
3.9073,32,5.83682,1.02957,1492,2.67216,33.99,-117.95,1.532
6.068,34,6.30556,1.12115,565,2.81813,37.35,-121.76,5.00001
3.0486,40,5.71538,0.92321,2049,2.93842,34.12,-118.3,2.843
5.1682,52,5.91138,1.05128,848,2.8539,37.79,-121.91,0.895
5.7406,26,5.78828,1.03931,1285,2.93631,37.38,-121.34,2.638
7.2034,28,7.1785,1.06921,603,2.72215,34.09,-118.47,3.819
3.7867,44,4.84618,1.05818,888,3.09722,33.96,-117.93,1.818
3.6525,40,4.08865,1.03775,782,3.73902,33.97,-118.03,1.721
5.2386,21,6.27408,1.07932,1656,3.00897,33.68,-117.13,2.941
5.0189,34,5.91298,1.06939,1598,2.85873,33.73,-117.31,1.935
3.4125,38,6.71944,1.06438,1052,2.95592,33.9,-117.11,3.25
4.0663,17,4.76465,1.04922,1525,2.84852,33.69,-117.99,3.872
3.1376,52,4.64791,1.06541,921,2.82637,33.98,-118.35,2.872
3.8385,20,5.86583,1.09819,1489,2.89094,36.63,-119.03,0.955
2.1073,15,4.63942,1.07931,1201,3.06931,33.96,-118.32,1.835
1.9061,26,4.90625,1.07856,1522,2.84319,33.8,-116.96,0.819
4.8571,34,5.86894,0.9464,906,2.72292,34.15,-118.35,2.722
2.6107,16,4.81713,1.09078,1872,2.86513,34.11,-117.96,1.913
4.1335,52,5.27892,1.03895,1787,2.75226,34.02,-118.4,3.922
3.0451,23,4.84569,1.0425,786,2.56915,33.95,-118.38,2.521
4.3125,39,6.59097,1.02742,1011,2.92903,34.19,-118.11,2.932
3.8333,18,4.63475,1.08822,1413,2.92452,33.88,-118.22,1.938
6.1743,27,8.86829,1.03942,1078,2.76468,33.93,-117.22,1.922
2.4286,35,4.81593,1.03373,1318,4.15791,37.36,-122.07,1.097
5.3533,35,5.06531,1.01053,1437,3.14449,37.83,-121.65,1.842
1.6362,16,3.93937,1.03743,861,2.55217,33.8,-117.99,0.834
3.1365,52,4.98152,1.03876,1262,3.87931,33.76,-118.15,2.813
2.6167,29,4.85229,1.03831,1471,2.91732,34.04,-118.41,1.2
7.2557,33,7.90828,0.93318,794,3.08182,37.55,-122.43,5.00001
7.2589,52,7.81851,1.04348,1465,3.01094,34.1,-118.33,3.918
4.1471,23,5.23806,1.06585,1679,2.82402,33.94,-117.07,1.731
4.8022,15,5.86544,1.07932,1047,3.81371,33.09,-118.25,1.879
4.8208,35,5.83835,1.06822,562,3.05914,33.96,-117.27,1.913
2.8333,35,4.85717,0.98671,633,2.83556,36.99,-121.92,1.621
4.2687,52,6.86793,1.03696,1849,3.56915,33.83,-117.93,1.955
2.4536,52,3.84762,1.03744,1062,2.91939,32.78,-117.96,1.932
6.3321,13,7.92383,1.08947,2661,2.93554,37.64,-122.48,3.724
9.1392,17,8.40667,1.11891,928,2.98551,37.66,-122.31,5.00001
4.5167,27,5.76684,1.07936,954,3.03741,33.98,-117.21,2.722
5.1531,30,5.17791,1.02399,1092,2.89435,34.01,-118.05,2.638
2.1602,38,4.85909,1.04932,1545,3.93532,33.67,-118.41,1.819
2.7227,32,6.71665,1.02129,705,2.82952,37.58,-121.94,0.814
2.9286,33,5.28881,1.06547,1038,2.92621,33.87,-117.02,1.583
2.8208,52,4.48402,1.11861,718,3.71798,32.96,-117.19,1.891
3.9125,30,5.29479,1.06087,1041,2.76465,37.72,-122.48,1.914
5.3125,14,6.84854,1.11602,1367,3.72419,33.85,-118.11,2.919
3.9306,33,5.63885,1.07824,1531,4.53962,34.24,-118.06,1.717
2.6354,40,3.81442,1.07822,438,4.82612,34.07,-118.18,1.938
3.6361,22,4.83565,1.09719,1339,3.93464,34.11,-118.37,2.907
2.9069,23,3.81357,1.03895,851,2.97943,34.27,-118.04,1.933
2.7107,15,4.63957,1.06414,875,2.50556,38.48,-121.85,0.906
2.0227,52,3.99074,1.01128,1272,3.15983,34.03,-118.13,0.879
2.1533,27,4.84596,1.03733,1018,2.45861,32.72,-117.02,1.826
4.1912,52,6.27984,1.07931,1352,2.81613,37.32,-122.26,3.063
5.3041,38,6.12804,1.08822,574,2.91923,34.12,-118.22,2.741
2.7111,35,4.81729,1.03837,1482,3.13881,34.12,-118.15,0.898
6.7167,36,6.47222,1.04936,1622,2.73945,37.33,-121.9,2.621
4.0221,17,6.92294,0.9865,1548,3.10385,33.82,-117.22,1.851
1.5208,40,4.93439,0.96633,922,3.05835,38.13,-121.9,0.964
3.3536,34,5.93638,1.07966,797,2.93638,32.85,-116.93,1.923
2.6191,47,4.94818,1.05077,852,2.9078,33.77,-118.05,1.722
3.8086,25,4.88571,1.04946,752,2.95451,34.1,-118.31,3.851
3.5107,26,6.24286,1.08061,1783,2.78869,36.73,-119.82,0.904
2.9063,24,5.06431,1.09722,1489,2.82285,33.92,-117.02,1.834
2.1535,35,5.59077,1.12072,1547,3.33143,33.83,-117.98,1.912
2.9083,44,5.57863,1.06867,1145,2.82431,33.78,-117.07,1.821
3.0896,40,4.56584,1.07838,788,1.96587,33.81,-117.18,1.845
8.5821,35,7.07764,1.03719,2711,2.84432,37.78,-122.48,5.00001
2.6607,43,4.90778,1.03765,933,1.63917,38.02,-122.06,1.879
2.2562,28,3.91457,1.07889,1303,2.76667,34.18,-118.16,0.828
2.2938,6,5.93698,1.05898,1619,3.38761,33.64,-117.25,1.313
3.1419,10,4.53934,1.06958,1719,2.35654,37.95,-122.37,2.631
7.8028,37,6.05327,1.03978,1390,3.81578,33.95,-117.07,5.00001
4.9076,35,4.97974,1.05871,715,3.53439,37.75,-122.32,2.898
2.8083,27,5.37894,1.03879,1030,3.76625,38.42,-121.86,1.071
5.1561,28,5.81161,1.06721,1007,2.94478,34.12,-118.11,1.938
3.7188,36,4.73955,1.05868,1331,3.63879,34.27,-118.12,2.835
4.5151,32,5.72291,1.07831,2132,2.63936,33.92,-117.03,1.734
4.6353,23,5.81853,0.97732,1182,3.63373,36.74,-119.76,0.903
2.5221,16,4.94419,1.05872,765,2.82929,37.36,-122.51,1.816
5.7286,52,6.92786,1.05556,962,2.39053,34.08,-118.24,2.764
4.038,38,5.09818,1.00892,1538,3.08819,33.84,-118.23,1.722
7.2474,19,7.81586,1.0214,857,2.78837,37.86,-122.25,3.534
4.2125,24,5.25961,1.03927,741,3.63839,34.07,-118.19,2.942
4.4034,35,5.81848,1.00556,1337,3.01054,33.99,-118.28,1.895
4.1489,38,5.72686,0.97947,1555,3.28981,34.06,-118.33,1.923
10.9667,15,6.49078,0.98329,1738,3.09895,33.93,-117.96,3.939
3.0402,23,5.96798,1.11891,2566,3.0439,37.69,-120.84,1.821
7.3921,36,7.63686,1.07066,961,2.94483,37.8,-122.41,3.921
4.1434,34,5.29892,1.03903,931,2.92685,34.19,-118.47,2.636
4.037,17,5.96692,1.07721,1322,2.94816,33.89,-117.9,1.938
2.6574,23,5.14961,1.03913,1407,3.16063,36.62,-119.95,0.722
2.3563,25,5.81321,0.91295,942,2.81491,39.09,-122.07,0.721
5.5556,42,4.67172,0.91938,471,3.72286,34.25,-118.07,3.971
1.5385,46,4.81287,1.0096,722,3.82987,38.37,-121.22,0.823
4.0186,52,4.84435,1.03902,871,2.55143,37.58,-122.39,1.731
1.7167,28,4.89842,1.03743,1174,1.83543,36.9,-119.99,0.917
2.7185,36,4.38353,0.95536,907,2.03929,34.24,-118.14,1.392
2.7107,18,3.86791,1.01894,1371,2.83938,36.79,-119.71,0.622
2.2893,52,3.82232,1.08621,896,2.53119,38.32,-122.32,1.714
3.3961,20,5.92458,0.93565,1056,2.83691,34.12,-118.21,1.835
3.6176,33,5.81824,1.07869,856,2.73857,33.98,-117.98,1.732
3.0598,16,5.86932,1.04031,586,2.80401,37.31,-120.57,0.988
6.6378,21,6.97636,1.08837,871,2.96776,33.99,-118.28,2.732
2.6167,52,4.98817,1.07931,1278,2.63323,36.61,-119.13,0.543
1.5261,35,5.37279,1.04934,1795,2.86901,39.45,-122.04,0.979
3.0208,47,4.95863,1.10758,496,3.85785,34.02,-118.15,2.928
6.6093,14,7.12963,1.06898,1479,3.73936,34.17,-118.21,3.742
2.4534,24,3.79852,1.07984,893,2.25556,34.03,-118.33,1.879
